1712430,崇明,明珠花园YY,二室二厅,1,90,165万元,房产中介
1712429,崇明,新海农场,三室一厅,2,68,63万元,房产中介
1712428,崇明,八一路,三室一厅,2,104,215万元,房产中介
1712427,崇明,王环新村,二室一厅,2,72,180万元,房产中介
1712426,崇明,甘霖坊,三室二厅,6,119,240万元,房产中介
1712425,崇明,东门新村,二室一厅,5,60,132万元,房产中介
1712424,崇明,西门北村,二室户,3,43,99万元,房产中介
1712423,崇明,甘霖坊,三室二厅,1,119,218万元,房产中介
1712421,崇明,小��新村,二室一厅,4,62,115万元,房产中介
1712420,崇明,金珠,二室二厅,5,93,165万元,房产中介
1712419,崇明,新崇西路全新精装,二室二厅,3,80,210万元,房产中介
1712418,崇明,小��新村,三室一厅,3,78,155万元,房产中介
1712416,崇明,海岛精装关门卖,三室一厅,6,103,210万元,房产中介
1712415,崇明,西怡祥居精装双南,二室一厅,3,78,190万元,房产中介
1712414,崇明,西观潮,三室一厅,5,78,165万元,房产中介
1712413,崇明,永凤花苑双南房A,三室一厅,6,103,220万元,房产中介
1712412,崇明,东观潮�e墅,三室二厅,1,205,600万元,房产中介
1712410,崇明,东门新村急卖A,二室一厅,2,54,130万元,房产中介
1712408,崇明,西湄洲双南房A,二室一厅,6,78,168万元,房产中介
1712407,崇明,湄�鲂麓�,三室一厅,1,86,208万元,房产中介
1712405,崇明,西门南村豪装A,一室一厅,4,40,100万元,房产中介
1712404,崇明,西观潮,三室一厅,1,78,160万元,房产中介
1712403,崇明,玉环新村双南急卖,二室一厅,5一梯2户,62,133万元,房产中介
1712402,崇明,明珠6复7A,未填,6-7,163,160万元,房产中介
1712401,崇明,静南,二室一厅,1,79,142万元,房产中介
1712400,崇明,北门二村门面房A,二室一厅,1带天井,53,145万元,房产中介
1712399,崇明,静南小区,三室二厅,4,136,262万元,房产中介
1712398,崇明,西门南村精装A,二室一厅,6,47,112万元,房产中介
1712395,崇明,海天景苑,三室二厅,5,125,300万元,房产中介
1712394,崇明,观潮新村,二室二厅,2,78,165万元,房产中介
1712393,崇明,今曰东范,三室二厅,4,115,238万元,房产中介
1712391,崇明,海天景苑,二室二厅,2,104,210万元,房产中介
1712390,崇明,管弄双南房A,二室一厅,6送大露台,62,155万元,房产中介
1712388,崇明,红星农场,二室一厅,4,45,39万元,房产中介
1712387,崇明,寒山寺A,二室一厅,4,57,133万元,房产中介
1712386,崇明,西门北村精装A,一室一厅,2,39,95万元,房产中介
1712383,崇明,寒山寺精装双南A,三室一厅,6,90,178万元,房产中介
1712382,崇明,跃进新村,二室一厅,2,44,45万元,房产中介
1712381,崇明,明月苑豪装关门卖,二室二厅,6婚房装修,89,225万元,房产中介
1712380,崇明,明月苑,三室二厅,3,126,272万元,房产中介
1712379,崇明,海岛星城急卖A,三室二厅,4位置佳,107,235万元,房产中介
1712377,崇明,达安御庭豪装A,三室一厅,1,91,290万元,房产中介
1712375,崇明,明南佳苑,三室二厅,4――5,107,182万元,房产中介
1712374,崇明,江囗镇,二室一厅,2,48,60万元,房产中介
1712373,崇明,绿地二期精装A,四室二厅,5送一车位,140,460万元,房产中介
1712370,崇明,永风花范,三室一厅,3,85,205万元,房产中介
1712368,崇明,永风花范,三室二厅,1,127,260万元,房产中介
1712366,崇明,新城房产,三室二厅,2,126,255万元,房产中介
1712363,崇明,寒山寺红面砖,三室二厅,5,108,220万元,房产中介
1712362,崇明,西湄洲精装修,三室一厅,1,85,190万元,房产中介
1712457,崇明,急售北门2村3楼,二室一厅,3,63,128万元,房产中介
1712456,崇明,明南佳苑二期,二室二厅,4,90,160万元,房产中介
1712455,崇明,明珠花园,二室二厅,1,90,188万元,房产中介
1712454,崇明,明珠花园,三室二厅,1,118,252万元,房产中介
1712453,崇明,明南佳苑一期,二室二厅,4,91,150万元,房产中介
1712452,崇明,西门北村精装双南,二室一厅,5,48,105万元,房产中介
1712451,崇明,明珠花园,三室二厅,4,115,253万元,房产中介
1712450,崇明,南门路小区,三室一厅,4,98,230万元,房产中介
1712449,崇明,新河镇西河沿,二室一厅,2,45,63万元,房产中介
1712448,崇明,西门北村精装急卖,一室一厅,2,39,94万元,房产中介
1712447,崇明,江山新村中,三室一厅,1,80,185万元,房产中介
1712446,崇明,西观潮，急售,三室一厅,3,78,165万元,房产中介
1712443,崇明,金珠 A区,二室二厅,3,79,183万元,房产中介
1712442,崇明,八一路,三室一厅,3,91,200万元,房产中介
1712441,崇明,西门路,三室一厅,6,91,175万元,房产中介
1712440,崇明,西观潮双南急卖,三室一厅,3,78,165万元,房产中介
1712439,崇明,急售兴贤街4楼,二室一厅,4,74,172万元,房产中介
1712438,崇明,永凤花园・,三室一厅,3,91,210万元,房产中介
1712437,崇明,东门新村,三室一厅,3,75,180万元,房产中介
1712436,崇明,金珠,二室二厅,5,93,165万元,房产中介
1712435,崇明,甘霖坊,三室一厅,6,87,200万元,房产中介
1712434,崇明,亚通水岸,二室二厅,5,80,208万元,房产中介
1712433,崇明,东门新村,三室一厅,2,74,150万元,房产中介
1712432,崇明,门面东门路,二室一厅,1,37,125万元,房产中介
1712431,崇明,八一路,二室户,3,52,114万元,房产中介
1712298,崇明,金珠花苑,三室二厅,5,100,165万元,房产中介
1712297,崇明,金珠花苑 急卖,二室二厅,5,93,163万元,房产中介
1712296,崇明,新河镇 绿舟新城,一室一厅,4,61,88万元,房产中介
1712295,崇明,物华新村,三室一厅,6,91,170万元,房产中介
1712294,崇明,明南佳苑急卖,一室一厅,1,57,135万元,房产中介
1712293,崇明,江山新村【新】,三室一厅,3,87,212万元,房产中介
1712292,崇明,西湄洲双学房,三室一厅,6,86,203万元,房产中介
1712291,崇明,堤亚纳.别墅,未填,1―3层,415,1050万元,房产中介
1712290,崇明,东门新村双南,二室一厅,5,63,120万元,房产中介
1712289,崇明,江山新村 带天井,三室一厅,1楼带花苑,80,180万元,房产中介
1712288,崇明,西观潮急卖,三室一厅,3,78,165万元,房产中介
1712287,崇明,绿地精装商务楼,二室一厅,7复8电梯房,57,160万元,房产中介
1712286,崇明,明南二期,二室二厅,3,83,160万元,房产中介
1712285,崇明,东门新村精装,二室一厅,2,54,128万元,房产中介
1712284,崇明,明南（小鹿）,二室一厅,3,91,161万元,房产中介
1712283,崇明,明珠花苑 电梯房,二室二厅,6,119,208万元,房产中介
1712282,崇明,北门一村 急卖,二室一厅,4,50,115万元,房产中介
1712281,崇明,明南佳苑,二室一厅,1,78,152万元,房产中介
1712280,崇明,明南佳苑 带花苑,二室二厅,1楼带花苑,89,152万元,房产中介
1712278,崇明,明南佳苑 带花苑,二室一厅,1楼带花苑,79,142万元,房产中介
1712277,崇明,寒山寺公房双东门,三室一厅,6,90,170万元,房产中介
1712276,崇明,明珠花苑,二室二厅,2,102,175万元,房产中介
1712275,崇明,金鳌山（小鹿）,四室二厅,6,185,580万元,房产中介
1712274,崇明,小港新村 急卖,二室一厅,4,62,113万元,房产中介
1712272,崇明,北门一村,二室一厅,3,63,128万元,房产中介
1712361,崇明,明珠精装xx,三室二厅,3,120,230万元,房产中介
1712354,崇明,新物华,四室二厅,4,167,350万元,房产中介
1712353,崇明,金珠花园,二室二厅,2,88,172万元,房产中介
1712352,崇明,兴贤街精装,二室二厅,3,83,215万元,房产中介
1712351,崇明,海岛,二室二厅,4,81,200万元,房产中介
1712350,崇明,东湄洲双学房,二室二厅,5,73,168万元,房产中介
1712349,崇明,明南佳苑精装,二室二厅,1,79,142万元,房产中介
1712347,崇明,长征农场,二室一厅,4,54,42万元,房产中介
1712346,崇明,西门北村面砖房,二室二厅,3,91,233万元,房产中介
